brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age,Unnamed: 0,,,,
"Field CA1, stratum oriens",516.786310089369,112.01613536245824,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA1, pyramidal layer",1453.156089592043,129.32904578444044,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA1, stratum radiatum",868.5871542289217,103.62633549021692,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Field CA2,590.3780947891596,78.96837453222506,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA2, stratum lacunosum-moleculare",296.00929654828985,88.47657292544136,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA2, stratum oriens",398.3640949776784,104.25530947089669,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA2, pyramidal layer",1263.4568778729172,172.0206818630398,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA2, stratum radiatum",592.1417207611631,120.43052471873088,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Field CA3,384.9514434708367,57.60897052558086,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA3, stratum lacunosum-moleculare",143.64192093274465,53.192955366025544,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA3, stratum lucidum",610.727870937454,121.80341279107631,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA3, stratum oriens",247.08390917366296,57.20557329540428,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA3, pyramidal layer",484.17218800611664,66.12643989104191,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Field CA3, stratum radiatum",418.5047451824113,59.19564521443151,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Dentate gyrus,378.6494297201515,37.76571264424382,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Dentate gyrus, molecular layer",160.93317201842615,42.673032194696844,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Dentate gyrus, polymorph layer",938.7049083041253,141.95171857019145,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Dentate gyrus, granule cell layer",620.4489574736854,80.67625402936257,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Fasciola cinerea,1124.2885541548083,197.08195254770618,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Induseum griseum,4098.199567706638,442.4027172784105,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Retrohippocampal region,1639.757402082118,123.32638057137262,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Entorhinal area,1425.034356406529,107.7484305408066,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part",1381.1427412819498,96.80300194194571,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 1",369.7318134130149,78.44278463310278,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 2",2739.238053382483,300.4183212870167,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 2/3",1896.50441478117,184.797968868263,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 2a",2128.636411759571,194.27019978822517,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 2b",2758.424754114203,240.34753874721872,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 3",1736.9158202588374,155.74392771824822,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 4",1230.3170593870004,116.77765481096586,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 4/5",866.807346687282,107.7106916028655,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 5",1179.2899488411986,115.88584100431785,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone",1374.5674435622425,168.7734902691084,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 1",582.7549035610022,210.59605251198997,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 2",1997.9555092778505,286.6035239691348,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 2a",1412.2549992854144,451.8081591922795,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 2b",2194.3199663632377,479.9739113492499,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 3",1738.2680199763774,244.50061423913792,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 4",1113.994534583133,183.13202101958052,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 5",1245.291414729277,151.3431619997501,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, dorsal zone, layer 6",1150.7514966478689,94.88237776918385,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, ventral zone",3114.565343674106,246.7799244439039,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, ventral zone, layer 1",1787.813127725818,376.2947425930473,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, ventral zone, layer 2",4352.928788767867,347.8504209850527,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, ventral zone, layer 3",4078.076338657911,623.6803524997904,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, medial part, ventral zone, layer 5/6",1949.3895303479485,1784.4681965038064,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Parasubiculum,2784.7307241547996,299.79135470263543,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Parasubiculum, layer 2",3160.59124900119,354.42970978318976,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Parasubiculum, layer 3",1690.1859216312246,265.483553862139,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Postsubiculum,2769.7870987001934,244.2305940995954,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Postsubiculum, layer 1",1172.2435428942053,284.41352506618716,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Postsubiculum, layer 2",2293.242139870009,1403.2745867196359,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Postsubiculum, layer 3",3449.090198431141,299.9992026154276,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Presubiculum,2807.3204240807772,264.0134754049987,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Presubiculum, layer 2",3221.0281584853274,353.89866724068156,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Presubiculum, layer 3",1933.909546330819,250.26807988940607,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Subiculum,1374.617275669195,105.14950330050056,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, dorsal part",1139.772760096217,87.27528062685639,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, dorsal part, molecular layer",614.8277506268855,146.2080516259133,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, dorsal part, pyramidal layer",1109.9833170218826,124.6356247863553,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, dorsal part, stratum radiatum",1709.4637959793508,200.5333209795578,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, ventral part",1463.6707446937212,121.23329862924402,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, ventral part, molecular layer",1025.7323928687335,219.37763516071806,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, ventral part, pyramidal layer",1430.4377565431664,106.66456453507826,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Subiculum, ventral part, stratum radiatum",2296.052563967096,295.46982358265683,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cortical subplate,1154.6954328607726,88.83807941911768,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Claustrum,882.46706131672,82.91262429689743,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Endopiriform nucleus,418.94995292640954,34.50455097191322,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Endopiriform nucleus, dorsal part",377.9217139033894,31.718283868589545,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Endopiriform nucleus, ventral part",570.7669061931633,61.48075401883554,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lateral amygdalar nucleus,1587.891160211816,112.8342820165536,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Basolateral amygdalar nucleus,1945.57472132364,171.44359512791516,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Basolateral amygdalar nucleus, anterior part",1849.955091360752,179.17373154977798,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Basolateral amygdalar nucleus, posterior part",2412.3838856491247,174.52542880922516,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Basolateral amygdalar nucleus, ventral part",1399.174356962051,184.07232037685532,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Basomedial amygdalar nucleus,1111.3365936225541,111.53230957492543,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Basomedial amygdalar nucleus, anterior part",265.54265151826723,33.24300553691843,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Basomedial amygdalar nucleus, posterior part",1422.8637341234512,146.90177266227255,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Posterior amygdalar nucleus,3226.258895322275,264.4057433035116,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cerebral nuclei,62.102972177011864,6.975741478114809,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Striatum,66.15201271029878,7.6187069676113355,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Striatum dorsal region,22.74909875493115,3.8249217974437286,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Caudoputamen,22.74909875493115,3.8249217974437286,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Striatum ventral region,92.40900921417672,7.754471790972124,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Nucleus accumbens, core",47.87387290776507,9.928157228437321,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Nucleus accumbens, shell",60.27941753445796,9.274427709329537,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Fundus of striatum,170.78462068262877,32.25051620905303,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Olfactory tubercle,141.76818492574006,16.585886670984145,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Olfactory tubercle, molecular layer",70.96816530580253,15.37319107558164,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Olfactory tubercle, pyramidal layer",162.13627715728967,22.341811039376662,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Olfactory tubercle, polymorph layer",209.6740977847776,23.023319936069385,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lateral septal complex,59.919459258123936,12.128913259637665,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lateral septal nucleus,59.21159194412209,11.562516791467932,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lateral septal nucleus, caudal (caudodorsal) part",78.56806568591625,14.125476244251246,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lateral septal nucleus, rostral (rostroventral) part",51.96091929141664,13.811212720190653,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lateral septal nucleus, ventral part",12.360630839300171,15.11161473772844,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Septofimbrial nucleus,27.305955035282516,9.955422237616906,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Septohippocampal nucleus,214.8070535946355,64.01699761592441,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Striatum-like amygdalar nuclei,278.53799532487756,37.27829951996233,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Anterior amygdalar area,165.1389057048467,23.130088424963585,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Bed nucleus of the accessory olfactory tract,366.24586620103923,123.6917870389926,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Central amygdalar nucleus,152.80555482723094,27.636385742118136,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Central amygdalar nucleus, capsular part",172.67121810562224,43.697816591337634,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Central amygdalar nucleus, lateral part",308.1616577829732,49.14643044786331,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Central amygdalar nucleus, medial part",79.4978428042342,17.634408646132783,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Intercalated amygdalar nucleus,375.2879112637775,99.42874548469226,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Medial amygdalar nucleus,399.79627553663374,51.19059735060489,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, anterodorsal part",96.90685025802428,24.06070843762585,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, anteroventral part",109.8108409259045,27.77385182559458,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, posterodorsal part",745.5402500398086,151.59716494720334,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, posterodorsal part, sublayer a",638.5177801921759,170.23536207746895,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
